,SigC800,SigBr730,EpsC800,EpsBr730,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,AvgMAPE
3078,0.52573,0.18794,0.16815,1.77783,-6.1426864244741886,0.8358030592734225,-1.5234225621414936,0.0,-11.602772466539198,-12.068833652007646,-10.565965583173998,-5.735898661567879,-1.255019120458892,16.68339225668818
3079,0.22573,0.48794,0.65815,2.77783,4.668738049713195,0.20865200764818467,-15.17997131931166,0.0,-3.6070745697896744,-3.3716539196940722,-16.38193116634799,4.508102294455068,-15.335564053537285,11.589378250306035
3080,0.26323,0.37544,0.22940,2.40283,1.0478011472275301,0.08293499043976577,-1.448613766730403,0.0,-1.3350860420650126,-1.3293499043977084,-2.4651051625239058,1.1281070745697894,-1.4720363288718976,3.0828711902183232
3081,0.56323,0.67544,0.71940,1.40283,22.22275334608031,4.392925430210351,-168.75621414913957,0.0,-69.26027724665391,-67.82074569789674,-202.23279158699808,20.29397705544935,-169.32337476099426,157.86046432294344
3082,0.71323,0.22544,0.47440,2.90283,-143.1947896749522,15.227055449330791,-27.75095602294458,0.0,-216.17949330783938,-225.47944550669214,-191.79349904397705,-137.30186424474186,-21.890535372848927,297.79256384970415
3083,0.41323,0.52544,0.96440,1.90283,4.34923518164436,0.5622848948374767,-24.10879541108987,0.0,-8.78209847036329,-8.573542065009558,-28.18432122370937,4.157385277246654,-24.2467017208413,21.68434377342497
3084,0.33823,0.15044,0.59690,1.65283,0.3518164435946415,0.1135277246653906,-0.5628585086042108,0.0,-1.8616156787762943,-1.908221797323138,-1.9380975143403463,0.47490439770554366,-0.5585564053537326,3.415781500154222
3085,0.63823,0.45044,0.10690,2.65283,-23.151505736137665,3.0033460803059278,-11.16993307839388,0.0,-41.68226577437858,-43.28119024856596,-43.39971319311663,-22.025262906309752,-10.191443594646273,60.19120521223072
3086,0.48823,0.30044,0.84190,1.15283,-7.75143403441683,1.0237810707456987,-1.7868068833652004,0.0,-13.806166347992354,-14.362810707456976,-12.559273422562141,-7.278919694072661,-1.4579349904397725,19.712938000611473
3087,0.18823,0.60044,0.35190,2.15283,20.171367112810703,0.6959847036328818,-76.13097514340345,0.0,-15.984703632887195,-14.926386233269604,-78.78826481835564,19.05305927342255,-76.86763862332695,53.11026808484272
3088,0.20698,0.31919,0.68877,1.84033,0.788479923518166,0.06763862332695675,-0.41969407265774383,0.0,-1.2026768642447443,-1.2182122370936923,-1.394120458891013,0.8898183556405385,-0.43307839388145597,2.508700989591609
3089,0.50698,0.61919,0.19877,2.84033,24.119502868068817,1.62595602294455,-112.63592256214149,0.0,-31.676386233269596,-30.357313575525808,-122.5774378585086,22.583413001912053,-113.47528680688336,87.84904361786296
3090,0.65698,0.16919,0.93377,1.34033,-92.94789674952199,10.353728489483759,-17.16395793499043,0.0,-146.86472275334606,-152.75358508604205,-131.93499043977053,-88.81978967495219,-13.508843212237084,201.93274845063635
3091,0.35698,0.46919,0.44377,2.34033,2.7889579349904423,0.22323135755258744,-10.105879541108983,0.0,-3.4206500956022903,-3.298996175908221,-11.75095602294455,2.7387667304015335,-10.19120458891013,9.128097738712285
3092,0.43198,0.24419,0.07627,2.09033,-0.27533460803058957,0.17853728489484083,-0.45434990439770123,0.0,-2.7325525812619484,-2.8164435946462696,-2.5948852772466537,-0.1252390057361379,-0.4254302103250481,4.53741412800831
3093,0.73198,0.54419,0.56627,1.09033,-211.04923518164435,22.466539196940726,-66.17112810707454,0.0,-312.3991395793499,-327.14459847036323,-292.39722753346075,-202.95889101338426,-56.971797323135725,440.20822348343415
3094,0.58198,0.39419,0.32127,2.59033,-19.770291586998088,2.440917782026767,-5.498542065009559,0.0,-33.36465105162524,-34.71768642447419,-31.688049713193113,-18.770841300191204,-4.6744502868068825,47.039696828456876
3095,0.28198,0.69419,0.81127,1.59033,62.397227533460786,2.817877629063089,-230.59679732313575,0.0,-44.05783938814533,-39.39292543021033,-236.61520076481835,57.901529636711274,-232.59894837476097,154.10007764698514
3096,0.24448,0.20669,0.26002,1.21533,0.7277724665391939,0.06787762906309555,-0.42447418738049963,0.0,-1.3654397705544985,-1.3895793499044027,-1.4591300191204633,0.8360420650095579,-0.43475143403442085,2.707342898788604
3097,0.54448,0.50669,0.75002,2.21533,-13.26123326959847,2.322657743785855,-21.45193594646271,0.0,-32.771582217973226,-33.683413001912044,-45.067160611854675,-12.65501912045889,-20.882170172084127,52.144325699340044
3098,0.69448,0.35669,0.01502,1.71533,-19.13013862332696,2.2959130019120453,-3.80095602294455,0.0,-31.604469407265775,-32.97985181644359,-28.72299235181644,-18.13788240917782,-2.9761711281070746,44.08571276940459
3099,0.39448,0.65669,0.50502,2.71533,47.761233269598435,2.0984703632887123,-182.88384321223708,0.0,-38.04397705544934,-34.80903441682602,-189.14674952198854,44.49880497131931,-184.48111854684512,126.06046203012458
3100,0.31948,0.43169,0.87252,2.96533,1.8396271510516258,0.15439770554492988,-5.461520076481835,0.0,-2.2041108986615696,-2.141491395793501,-6.71534416826004,1.8568355640535386,-5.512667304015296,5.745835882897878
3101,0.61948,0.73169,0.38252,1.96533,91.871414913958,12.504780114722791,-457.71510516252386,0.0,-146.6993307839388,-130.06214149139575,-513.4366634799235,83.44646271510524,-459.7681644359464,371.9785225245611
3102,0.46948,0.28169,0.62752,2.46533,-4.690726577437853,0.676864244741879,-1.1367112810707458,0.0,-9.125478011472271,-9.484703632887188,-8.278202676864243,-4.351816443594646,-0.9316443594646262,13.273084859362116
3103,0.16948,0.58169,0.13752,1.46533,13.179636711281068,0.48628107074569726,-48.81606118546845,0.0,-10.400717017208413,-9.70970363288719,-50.88585086042065,12.49727533460803,-49.29168260038241,34.472966271830735
3104,0.17886,0.42231,0.48971,1.62158,1.6070745697896724,0.09727533460802636,-3.454110898661574,0.0,-1.6555927342256263,-1.6142447418738095,-4.485420650095608,1.6508126195028638,-3.4976099426386265,4.252442072010361
3105,0.47886,0.72231,0.97971,2.62158,121.64435946462716,9.017686424474192,-469.3355640535372,0.0,-109.80401529636701,-89.8087954110898,-488.7765296367112,111.30975143403447,-472.6852294455066,330.42595974918197
3106,0.62886,0.27231,0.24471,1.12158,-33.15284416826004,3.866156787762903,-5.497609942638626,0.0,-53.45004780114723,-55.70341778202677,-47.88652007648184,-31.514866156787765,-4.135277246653924,73.71463064765575
3107,0.32886,0.57231,0.73471,2.12158,13.383604206500955,0.5418260038240942,-50.96916826003824,0.0,-11.119550669216059,-10.416969407265773,-53.301147227533455,12.678059273422562,-51.45148183556405,36.263462766102144
3108,0.40386,0.19731,0.85721,2.37158,-1.221319311663483,0.28943594646271814,-0.7005258126195056,0.0,-4.021032504780117,-4.162284894837474,-3.7755736137667295,-1.0315487571701727,-0.6345602294455069,6.335197723364797
3109,0.70386,0.49731,0.36721,1.37158,-103.72227533460804,11.785372848948361,-31.4364244741874,0.0,-168.57815487571705,-175.25549713193115,-160.5258126195029,-99.29397705544933,-27.29206500956024,236.0106158825787
